 REG_CIS       NAZOV                                       JCM11         MNOZ
362541         HUSACIE STEHNA                                  0.0000    0.00
36255          Kur.pecienky chladene                           0.0000    0.00
36257          HYDINOVE KLOBASY                                0.0000    0.00
36258          Maso spis parky                                 0.0000    0.00
36259          HOV.LICKA                                       0.0000    0.00
3626           UHERAK MIK PORCOVANA 100g                       0.0000    0.00
36260          RYBIE PRSTY                                     0.0000    0.00
36261          SALATOVA SALAMA                                 0.0000    0.00
3627           TELACIE BALICKY                                 0.0000    0.00
3628           KACACIE STVRTE MRAZENE                          0.0000    0.00
3629           KNEDLIKY TVAROHOVE CUCORIEDKOVE                 0.0000    0.00
363            KUR.STEHIENKA                                   0.0000    0.00
3630           KEL RUZICKOVY                                   0.0000    0.00
3631           MORCACIE PECIENKY                               0.0000    0.00
3632           PECENOVY SYR EXTRA V856                         0.0000    0.00
3633           JAHNACIE STEHNO                                 0.0000    0.00
3634           VEDRO CIRE S VRCHNAKOM+VRCHNAK                  0.0000    0.00
3635           LIPTOVSKA SALAMA V 3311                         0.0000    0.00
364            Salama s kapiou                                 0.0000    0.00
3640           Telacie stehno                                  0.0000    0.00
3641           Parky  so syrom                                 0.0000    0.00
36417          UDENY KRK BEZ KOSTI SOLENY                      0.0000    0.00
3642           Ipelska klobasa                                 0.0000    0.00
3643           Kuracia pecen                                   0.0000    0.00
3644           Sunkova salama 50g                              0.0000    0.00
3645           BravËov˝ lalok b.k. ˙den˝                       0.0000    0.00
3646           LUNCHEON 200g                                   0.0000    0.00
3647           ZREZANE MASOVE REBRA                            0.0000    0.00
36487          UDENY BOK S KOSTOU                              0.0000    0.00
36497          MASOVE KOSTI                                    0.0000    0.00
3650           PAPRIKAS MIK                                    0.0000    0.00
36514          LUNCMEAT                                        0.0000    0.00
36521          Welnes sunka                                    0.0000    0.00
365214         BravËov· masù 250g                              0.0000    0.00
365216         SCANPRO 1015 F                                  0.0000    0.00
365217         Kacacia pasteka 200g                            0.0000    0.00
36522          Retro sunka                                     0.0000    0.00
36526          Morcacie prsia                                  0.0000    0.00
36528          Hydinova jemna salama                           0.0000    0.00
36529          Lesna zmes                                      0.0000    0.00
3653           Malokarpatska salama 100g                       0.0000    0.00
36530          STEHNO Z DANIELA                                0.0000    0.00
